name,role,Batting Style,Bowling Style,team,bat_matches,bat_innings,bat_runs,bat_balls,bat_highest,bat_average,bat_sr,bat_not_out,bat_fours,bat_sixes,bat_ducks,bat_50s,bat_100s,bat_200s,bat_300s,bat_400s,bowl_matches,bowl_innings,bowl_balls,bowl_runs,bowl_maidens,bowl_wickets,bowl_avg,bowl_eco,bowl_sr,bowl_bbi,bowl_bbm,bowl_4w,bowl_5w,bowl_10w,player_image_filename
Ruturaj Gaikwad,Batsman,Right Handed Bat,Right-arm offbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__ruturaj-gaikwad.jpg
Dewald Brevis,Batsman,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__dewald-brevis.jpg
Ayush Mhatre,Batsman,Right Handed Bat,Right-arm offbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__ayush-mhatre.jpg
Matthew Short,Batsman,Right Handed Bat,Right-arm offbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__matthew-short.jpg
Sarfaraz Khan,Batsman,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__sarfaraz-khan.jpg
Shivam Dube,Batting Allrounder,Left Handed Bat,Right-arm medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__shivam-dube.jpg
Ramakrishna Ghosh,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__ramakrishna-ghosh.jpg
Jamie Overton,Bowling Allrounder,Right Handed Bat,Right-arm fast,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__jamie-overton.jpg
Anshul Kamboj,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__anshul-kamboj.jpg
Prashant Veer,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__prashant-veer.jpg
Zakary Foulkes,Bowling Allrounder,Right Handed Bat,Right-arm medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__zakary-foulkes.jpg
Aman Khan,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__aman-khan.jpg
MS Dhoni,WK-Batsman,Right Handed Bat,Right-arm medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__ms-dhoni.jpg
Urvil Patel,WK-Batsman,Right Handed Bat,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__urvil-patel.jpg
Sanju Samson,WK-Batsman,Right Handed Bat,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__sanju-samson.jpg
Kartik Sharma,WK-Batsman,Right Handed Bat,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__kartik-sharma.jpg
Shreyas Gopal,Bowler,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__shreyas-gopal.jpg
Gurjapneet Singh,Bowler,Right Handed Bat,Left-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__gurjapneet-singh.jpg
Mukesh Choudhary,Bowler,Left Handed Bat,Left-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__mukesh-choudhary.jpg
